Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
10618.65,1949.0,-1.73,44.86,0.09,2.88,8.19,40.58,2.67,0.22,0.03,0.01,0.0,0.0,0.46,0.0,1.0
7348.14,1954.0,-3.91,59.3,0.63,17.05,5.44,1.4,3.68,3.28,4.13,0.43,0.0,2.57,2.09,0.0,1.0
10155.64,1956.0,-4.21,56.66,0.38,15.81,3.56,2.0,5.11,3.96,0.84,0.19,0.0,1.32,10.18,0.0,1.0
8974.65,1961.0,3.27,74.37,0.25,14.79,0.07,0.24,2.48,5.76,1.62,0.1,0.0,0.32,0.0,0.0,1.0
9204.44,1962.0,-3.94,61.12,0.58,16.89,4.45,2.58,5.91,4.08,2.2,0.22,0.0,1.48,0.49,0.0,1.0
8361.34,1965.0,-0.88,46.98,0.73,13.12,5.26,4.72,8.05,2.52,1.24,0.27,0.0,1.27,15.83,0.0,1.0
7211.03,1969.0,-4.09,32.79,0.34,8.29,2.34,1.68,2.09,2.23,1.47,0.14,0.0,0.79,47.83,0.0,1.0
2582.33,1973.0,-4.75,49.74,0.89,16.56,9.26,9.1,12.15,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8477.76,1974.0,1.74,55.74,0.61,14.39,5.42,7.75,7.51,3.79,2.82,0.48,0.0,1.48,0.0,0.0,1.0
10997.1,1976.0,-0.82,75.94,0.0,17.62,0.0,0.0,0.0,4.73,0.0,0.0,0.0,1.71,0.0,0.0,1.0
10495.04,1980.0,2.04,48.62,0.84,14.58,8.1,12.32,10.15,2.78,0.81,0.3,0.0,1.49,0.0,0.0,1.0
599.93,1988.0,3.41,73.04,0.27,13.83,3.33,0.67,1.43,4.28,2.73,0.05,0.0,0.37,0.0,0.0,1.0
8315.28,1949.0,4.67,58.05,1.19,18.75,0.0,6.72,10.83,3.7,0.63,0.15,0.0,0.0,0.0,0.0,1.0
789.89,1951.0,3.38,76.91,0.0,17.3,0.0,0.0,0.0,4.1,0.0,0.0,0.0,1.7,0.0,0.0,1.0
1235.6,1958.0,0.14,51.08,1.91,14.72,10.4,6.31,11.22,3.51,0.23,0.15,0.0,0.47,0.0,0.0,1.0
5947.93,1960.0,-4.81,45.72,0.04,26.49,0.0,12.64,13.9,1.19,0.02,0.0,0.0,0.0,0.0,0.0,1.0
11380.33,1970.0,1.64,68.57,0.23,17.73,2.71,1.09,4.07,4.15,1.34,0.11,0.0,0.0,0.0,0.0,1.0
7561.69,1972.0,2.72,49.52,0.02,1.32,0.0,48.29,0.77,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11039.97,1973.0,2.17,65.29,0.79,16.64,4.9,1.59,3.07,4.16,1.98,0.09,0.0,1.49,0.0,0.0,1.0
10156.97,1986.0,-0.06,66.2,0.19,16.11,2.09,0.9,3.85,4.19,1.26,0.05,0.0,5.15,0.0,0.0,1.0
1402.56,1947.0,4.54,63.2,0.41,16.63,2.96,1.79,4.01,4.08,1.73,0.06,0.0,4.57,0.54,0.0,1.0
9477.86,1948.0,3.55,68.8,0.46,15.76,2.19,0.75,2.73,4.66,3.28,0.17,0.0,1.19,0.0,0.0,1.0
4359.17,1953.0,-2.01,59.66,0.66,16.33,5.59,3.61,6.69,2.83,2.96,0.2,0.0,1.49,0.0,0.0,1.0
1568.08,1961.0,-0.54,61.2,0.68,15.28,4.03,3.72,4.98,3.86,4.28,0.45,0.0,1.52,0.0,0.0,1.0
9257.4,1962.0,1.2,62.07,0.39,16.78,3.35,1.7,4.57,4.17,1.79,0.15,0.0,5.04,0.0,0.0,1.0
299.72,1963.0,0.37,51.11,1.37,15.64,8.52,8.45,11.65,2.96,0.03,0.15,0.0,0.12,0.0,0.0,1.0
6458.64,1969.0,-0.53,54.32,0.47,14.67,2.98,1.75,4.15,3.63,1.27,0.14,0.0,1.25,15.36,0.0,1.0
4395.57,1971.0,-1.79,61.29,0.91,16.4,5.22,3.56,3.97,3.76,1.62,0.16,0.0,1.48,1.62,0.0,1.0
5947.44,1973.0,4.65,48.81,0.11,3.58,0.0,43.46,3.19,0.26,0.01,0.0,0.0,0.0,0.58,0.0,1.0
6051.16,1978.0,-3.09,60.96,0.78,16.86,5.07,2.55,4.59,4.33,3.08,0.25,0.0,0.0,1.52,0.0,1.0
6439.05,1984.0,1.27,59.28,0.63,17.04,5.23,3.36,6.05,4.61,2.08,0.23,0.0,1.49,0.0,0.0,1.0
644.44,1986.0,-3.29,51.94,0.58,13.75,4.81,1.73,4.85,5.1,1.22,0.21,0.0,1.31,14.5,0.0,1.0
5340.38,1993.0,4.94,65.18,0.7,15.65,3.32,2.09,4.49,3.79,3.09,0.2,0.0,1.5,0.0,0.0,1.0
7608.52,1994.0,0.37,50.74,1.65,15.18,6.2,7.33,10.01,3.89,1.61,0.82,0.0,1.46,1.11,0.0,1.0
5045.02,1945.0,-3.07,69.34,0.34,15.75,1.94,0.98,2.64,5.67,0.78,0.15,0.0,2.41,0.0,0.0,1.0
9420.91,1947.0,-4.68,63.81,0.6,15.29,3.86,3.51,4.2,3.57,3.5,0.16,0.0,1.5,0.0,0.0,1.0
8179.24,1951.0,-4.9,66.04,0.21,16.43,2.26,0.9,3.82,3.74,1.32,0.08,0.0,5.21,0.0,0.0,1.0
876.03,1953.0,-2.72,57.89,1.13,16.95,8.67,3.45,4.0,5.87,0.21,0.28,0.0,1.55,0.0,0.0,1.0
3912.79,1955.0,2.69,47.25,0.1,0.83,0.0,50.05,0.79,0.04,0.13,0.35,0.0,0.0,0.46,0.0,1.0
820.19,1956.0,-2.56,51.29,0.39,14.89,3.09,1.69,3.73,3.31,1.54,0.12,0.0,1.2,18.74,0.0,1.0
5849.14,1977.0,1.04,65.67,0.67,13.23,4.8,2.93,3.09,4.98,2.49,0.33,0.0,1.8,0.0,0.0,1.0
1473.91,1978.0,3.23,54.83,0.54,12.32,3.69,2.23,4.8,3.13,1.42,0.19,0.0,1.28,15.57,0.0,1.0
315.42,1981.0,-2.53,55.81,0.79,16.66,5.96,2.7,7.54,4.46,0.63,0.24,0.0,5.2,0.0,0.0,1.0
1019.23,1985.0,-4.34,48.42,0.53,15.39,4.49,2.47,5.49,3.62,1.47,0.31,0.0,0.0,17.81,0.0,1.0
11094.64,1987.0,3.68,59.8,0.29,15.71,2.97,1.85,4.64,4.05,0.8,0.18,0.0,0.0,9.71,0.0,1.0
8284.53,1992.0,-3.74,58.25,0.66,15.92,5.48,3.55,6.65,2.72,3.01,0.22,0.0,1.46,2.08,0.0,1.0
10095.08,1994.0,-3.41,57.63,0.51,12.48,4.41,1.62,4.16,4.72,1.1,0.19,0.0,1.35,11.84,0.0,1.0
380.53,1946.0,-0.61,47.62,0.62,17.76,9.47,10.25,9.41,3.99,0.82,0.06,0.0,0.0,0.0,0.0,1.0
10439.67,1951.0,4.22,51.76,0.81,15.24,7.38,10.05,8.64,2.58,1.74,0.31,0.0,1.49,0.0,0.0,1.0
1261.38,1960.0,3.5,52.65,0.4,15.9,3.94,1.81,5.22,3.7,1.14,0.16,0.0,1.28,13.8,0.0,1.0
11812.85,1975.0,4.77,68.34,0.57,15.11,3.54,2.04,4.4,3.7,2.12,0.17,0.0,0.0,0.0,0.0,1.0
11310.8,1977.0,-3.78,57.45,1.77,18.35,0.0,7.81,10.17,3.97,0.28,0.19,0.0,0.0,0.0,0.0,1.0
4789.09,1978.0,1.81,50.57,1.57,15.73,10.35,7.67,11.01,2.88,0.1,0.13,0.0,0.0,0.0,0.0,1.0
178.13,1979.0,-0.15,61.5,0.5,18.12,3.89,2.28,4.84,4.11,1.67,0.23,0.0,2.84,0.0,0.0,1.0
153.23,1980.0,0.42,54.42,1.18,15.2,6.18,6.14,8.93,4.18,1.49,0.82,0.0,1.48,0.0,0.0,1.0
8804.44,1987.0,2.52,75.41,0.0,19.32,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,1.0
