Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
1877.75,1980.0,-4.28,50.24,0.01,0.95,0.0,48.17,0.54,0.06,0.01,0.02,0.0,0.0,0.0,0.0,1.0
467.71,1981.0,0.08,50.99,0.45,17.41,0.0,13.82,15.68,1.6,0.02,0.03,0.0,0.0,0.0,0.0,1.0
9138.0,1986.0,-0.87,49.87,1.25,16.01,9.18,8.73,12.16,2.61,0.1,0.1,0.0,0.0,0.0,0.0,1.0
7252.8,1992.0,-2.46,53.91,1.17,15.06,6.22,6.09,8.88,4.14,1.48,0.81,0.0,2.25,0.0,0.0,1.0
479.15,1949.0,4.46,53.7,0.97,16.82,6.77,5.65,8.7,2.62,2.89,0.38,0.0,1.49,0.0,0.0,1.0
6633.81,1952.0,-4.6,50.93,1.85,14.2,11.47,6.96,11.71,2.61,0.08,0.17,0.0,0.0,0.01,0.0,1.0
4182.72,1958.0,4.74,52.6,1.74,14.84,9.91,7.08,10.38,2.99,0.28,0.19,0.0,0.0,0.0,0.0,1.0
6242.81,1964.0,-3.76,55.14,1.01,15.05,6.46,6.32,6.62,3.11,3.33,0.28,0.0,1.49,1.18,0.0,1.0
333.02,1988.0,1.68,48.95,0.06,1.21,0.0,47.03,1.53,0.09,0.4,0.35,0.0,0.0,0.4,0.0,1.0
5815.25,1991.0,0.51,50.86,2.19,14.39,10.91,6.96,11.18,2.98,0.3,0.25,0.0,0.0,0.0,0.0,1.0
5097.26,1968.0,-1.99,55.27,0.88,23.1,0.0,5.84,11.31,2.25,0.48,0.27,0.0,0.59,0.0,0.0,1.0
1035.78,1973.0,-1.48,51.93,0.16,14.09,0.0,19.51,13.01,0.93,0.0,0.0,0.0,0.0,0.38,0.0,1.0
5440.72,1976.0,4.36,46.2,0.01,0.44,8.0,44.27,0.63,0.01,0.0,0.0,0.0,0.0,0.44,0.0,1.0
853.27,1977.0,2.15,47.33,0.06,1.04,0.0,49.71,1.07,0.0,0.24,0.04,0.0,0.0,0.5,0.0,1.0
1305.48,1979.0,-1.09,55.99,1.0,20.38,0.0,5.86,13.14,2.78,0.76,0.1,0.0,0.0,0.0,0.0,1.0
3524.15,1986.0,-1.44,51.01,0.86,14.8,10.31,8.09,12.8,2.02,0.04,0.06,0.0,0.0,0.0,0.0,1.0
7260.29,1987.0,-0.46,51.16,0.62,15.51,6.86,9.74,13.3,2.27,0.02,0.01,0.0,0.47,0.03,0.0,1.0
4753.65,1945.0,2.78,48.21,0.01,1.25,0.0,49.27,1.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11796.16,1961.0,-4.73,55.01,0.7,15.83,6.17,6.18,7.7,3.54,1.26,0.22,0.0,1.46,1.93,0.0,1.0
8332.26,1981.0,-0.72,56.05,1.67,18.51,0.0,7.83,10.98,4.51,0.25,0.18,0.0,0.0,0.0,0.0,1.0
6810.73,1945.0,1.93,51.66,1.43,15.32,9.37,8.08,10.96,2.56,0.44,0.19,0.0,0.0,0.0,0.0,1.0
11927.01,1947.0,4.58,54.08,0.53,14.81,0.0,11.41,16.56,2.54,0.04,0.02,0.0,0.0,0.0,0.0,1.0
1823.71,1949.0,-2.77,45.44,0.02,1.27,7.72,42.93,2.02,0.06,0.05,0.0,0.0,0.0,0.5,0.0,1.0
4461.4,1962.0,1.72,51.45,1.56,14.41,9.87,8.4,11.05,2.75,0.11,0.12,0.0,0.28,0.0,0.0,1.0
11679.85,1984.0,1.66,50.29,1.69,15.48,10.08,8.3,10.84,3.03,0.12,0.18,0.0,0.0,0.0,0.0,1.0
4292.92,1988.0,-0.61,51.16,2.18,13.6,12.49,6.71,10.57,2.95,0.12,0.23,0.0,0.0,0.0,0.0,1.0
5443.51,1948.0,-4.6,51.07,1.61,16.14,8.98,7.63,11.2,3.11,0.11,0.15,0.0,0.0,0.0,0.0,1.0
9439.31,1949.0,0.56,50.18,1.58,14.89,10.52,8.39,11.5,2.53,0.24,0.17,0.0,0.0,0.0,0.0,1.0
11870.14,1958.0,-0.07,51.2,0.32,6.47,0.0,24.79,15.94,0.47,0.0,0.0,0.0,0.81,0.0,0.0,1.0
6621.7,1960.0,-2.19,55.24,0.74,16.18,6.6,6.43,8.31,3.5,1.28,0.23,0.0,1.49,0.0,0.0,1.0
172.52,1961.0,2.87,50.1,1.61,14.7,11.13,7.07,12.22,2.76,0.2,0.2,0.0,0.0,0.0,0.0,1.0
5239.93,1969.0,0.24,40.4,0.02,0.96,9.57,39.22,9.32,0.24,0.03,0.04,0.0,0.0,0.19,0.0,1.0
9947.11,1974.0,4.97,42.73,0.04,0.96,8.93,46.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4566.29,1978.0,-0.49,49.32,1.36,15.85,10.11,8.18,12.32,2.62,0.12,0.11,0.0,0.0,0.0,0.0,1.0
2928.83,1980.0,0.1,64.63,0.54,16.71,0.0,5.07,7.35,5.35,0.35,0.0,0.0,0.0,0.0,0.0,1.0
10328.64,1987.0,-3.34,54.91,0.72,16.35,0.0,11.72,14.1,2.19,0.01,0.0,0.0,0.0,0.0,0.0,1.0
3986.47,1992.0,1.19,50.85,0.72,13.58,8.38,12.0,8.31,2.53,1.66,0.37,0.0,1.6,0.0,0.0,1.0
9864.35,1945.0,0.23,46.32,0.13,1.5,0.0,48.8,1.64,0.44,0.59,0.1,0.0,0.0,0.48,0.0,1.0
6182.05,1947.0,-0.39,48.7,0.05,1.62,0.0,48.42,1.09,0.1,0.01,0.0,0.0,0.0,0.0,0.0,1.0
6839.73,1950.0,2.86,54.79,1.05,17.48,0.0,9.49,13.69,3.38,0.07,0.05,0.0,0.0,0.0,0.0,1.0
10741.61,1954.0,-2.83,53.91,1.17,15.06,6.22,6.09,8.88,4.14,1.48,0.81,0.0,0.78,1.47,0.0,1.0
365.25,1957.0,2.29,50.32,1.28,16.59,7.6,8.07,12.85,2.9,0.08,0.3,0.0,0.0,0.0,0.0,1.0
