Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
119 2000.00 1135.94 23.887272 48.0636 2.51904 15.0024 1.89399 0.0201804 12.9937 0 5.29864 0 0 8.56127 4.37622 0.102902 0.33374 0.83435
120 2000.00 1133.94 23.182159 48.122 2.51624 15.0102 1.90245 0.0187087 12.9935 0 5.22016 0 0 8.48993 4.41787 0.105365 0.343891 0.859728
121 2000.00 1131.94 22.492127 48.1915 2.50927 15.0219 1.90827 0.0172228 12.9825 0 5.14088 0 0 8.41866 4.46134 0.107911 0.354441 0.886104
122 2000.00 1129.94 21.816797 48.2724 2.49805 15.0376 1.91126 0.015743 12.9603 0 5.06081 0 0 8.3475 4.50676 0.110544 0.365413 0.913533
123 2000.00 1127.94 21.155933 48.365 2.48253 15.0574 1.9112 0.0142909 12.9267 0 4.97999 0 0 8.27652 4.55419 0.113269 0.376828 0.942069
124 2000.00 1125.95 20.509454 48.4695 2.46276 15.0812 1.90792 0.0128877 12.8812 0 4.8985 0 0 8.20582 4.60369 0.11609 0.388706 0.971764
125 2000.00 1123.95 19.877438 48.5856 2.43881 15.1088 1.90129 0.0115533 12.8239 0 4.81644 0 0 8.13552 4.65527 0.11901 0.401065 1.00266
126 2000.00 1121.95 19.260143 48.7131 2.41085 15.1403 1.89122 0.0103044 12.7549 0 4.73397 0 0 8.06577 4.70889 0.122031 0.413919 1.0348
127 2000.00 1119.95 18.658008 48.8513 2.37913 15.1752 1.87772 0.00915405 12.6743 0 4.6513 0 0 7.99673 4.76445 0.125154 0.427277 1.06819
128 2000.00 1117.95 18.071642 48.9995 2.34398 15.2134 1.86087 0.00811039 12.5828 0 4.56867 0 0 7.92859 4.82176 0.128376 0.441141 1.10285
129 2000.00 1115.95 17.501789 49.1564 2.30583 15.2543 1.84085 0.00717699 12.481 0 4.48635 0 0 7.86153 4.8806 0.131693 0.455504 1.13876
130 2000.00 1113.95 16.949268 49.3207 2.26515 15.2976 1.81796 0.00635288 12.3699 0 4.40465 0 0 7.79574 4.94066 0.135099 0.470353 1.17588
131 2000.00 1111.95 16.414893 49.4909 2.22246 15.3426 1.79255 0.00563331 12.2507 0 4.32387 0 0 7.73139 5.00159 0.138585 0.485665 1.21416
132 2000.00 1109.95 15.899394 49.6652 2.17832 15.3888 1.76504 0.00501069 12.1245 0 4.24431 0 0 7.66864 5.06301 0.142142 0.501412 1.25353
133 2000.00 1107.95 15.403339 49.8422 2.13322 15.4358 1.7359 0.00447563 11.9927 0 4.16624 0 0 7.6076 5.12455 0.145758 0.517559 1.2939
134 2000.00 1105.95 14.927082 50.0203 2.08767 15.4831 1.70555 0.00401792 11.8566 0 4.08989 0 0 7.54837 5.18582 0.149421 0.534072 1.33518
135 2000.00 1103.95 14.470739 50.1982 2.04207 15.5302 1.67443 0.00362739 11.7172 0 4.01544 0 0 7.49101 5.24651 0.153121 0.550915 1.37729
136 2000.00 1101.96 14.034191 50.3747 1.99678 15.5768 1.64292 0.0032944 11.5757 0 3.943 0 0 7.43555 5.30631 0.156847 0.568051 1.42013
137 2000.00 1099.96 13.617105 50.5488 1.95209 15.6225 1.61132 0.00301026 11.4329 0 3.87267 0 0 7.382 5.36499 0.16059 0.585451 1.46363
138 2000.00 1097.96 13.218973 50.7198 1.90822 15.6674 1.57991 0.00276729 11.2896 0 3.80449 0 0 7.33033 5.42235 0.164343 0.603083 1.50771
139 2000.00 1095.96 12.839152 50.8872 1.86531 15.711 1.5489 0.00255894 11.1465 0 3.73844 0 0 7.28052 5.47824 0.168097 0.620924 1.55231
140 2000.00 1093.96 12.476905 51.0506 1.82348 15.7534 1.51843 0.00237963 11.0039 0 3.67452 0 0 7.23253 5.53256 0.171849 0.638952 1.59738
141 2000.00 1091.96 12.131438 51.2097 1.78281 15.7946 1.48863 0.00222471 10.8623 0 3.61268 0 0 7.1863 5.58523 0.175591 0.657147 1.64287
142 2000.00 1089.96 11.801924 51.3642 1.74332 15.8344 1.45958 0.00209032 10.722 0 3.55286 0 0 7.14178 5.63621 0.179322 0.675495 1.68874
143 2000.00 1087.96 11.487533 51.5143 1.70504 15.8729 1.43132 0.00197325 10.5832 0 3.49499 0 0 7.09892 5.68547 0.183038 0.693982 1.73496
144 2000.00 1085.96 11.187442 51.6598 1.66795 15.91 1.4039 0.00187086 10.446 0 3.43899 0 0 7.05764 5.73301 0.186737 0.712597 1.78149
145 2000.00 1083.96 10.900854 51.8007 1.63205 15.9459 1.37731 0.00178093 10.3106 0 3.3848 0 0 7.0179 5.77883 0.190417 0.731332 1.82833
146 2000.00 1081.96 10.627000 51.9371 1.59729 15.9806 1.35157 0.00170167 10.1771 0 3.33232 0 0 6.97962 5.82295 0.194076 0.750178 1.87545
147 2000.00 1079.97 10.365149 52.0692 1.56366 16.014 1.32666 0.00163156 10.0455 0 3.28149 0 0 6.94277 5.8654 0.197714 0.769129 1.92282
148 2000.00 1077.97 10.114608 52.197 1.53111 16.0463 1.30257 0.00156934 9.9158 0 3.23223 0 0 6.90728 5.9062 0.201329 0.788181 1.97045
149 2000.00 1075.97 9.874722 52.3206 1.49961 16.0774 1.27927 0.00151396 9.78804 0 3.18447 0 0 6.8731 5.94539 0.204921 0.807328 2.01832
150 2000.00 1073.97 9.644878 52.4402 1.46911 16.1075 1.25674 0.00146454 9.66222 0 3.13813 0 0 6.84018 5.98301 0.208491 0.826567 2.06642
151 2000.00 1071.97 9.424498 52.5558 1.43957 16.1365 1.23496 0.00142033 9.53831 0 3.09314 0 0 6.80848 6.01908 0.212037 0.845896 2.11474
152 2000.00 1069.97 9.213045 52.6677 1.41096 16.1646 1.21389 0.0013807 9.41629 0 3.04946 0 0 6.77794 6.05366 0.215559 0.86531 2.16328
153 2000.00 1067.97 9.000432 52.7989 1.38244 16.2 1.19285 0.00134257 9.29762 0 3.00489 0 0 6.72899 6.09119 0.219215 0.86887 2.21366
154 2000.00 1065.97 8.788687 52.946 1.35418 16.2416 1.17198 0.00130633 9.18215 0 2.95984 0 0 6.66446 6.131 0.222978 0.85886 2.26569
155 2000.00 1063.97 8.586063 53.0885 1.32684 16.2819 1.15185 0.00127388 9.06857 0 2.91617 0 0 6.60166 6.16917 0.226707 0.849391 2.3179
